id,smoking
159256,0.60270715
159257,0.26979634
159258,0.26356617
159259,0.046324026
159260,0.56761605
159261,0.96358943
159262,0.51825225
159263,0.038072858
159264,0.100099646
159265,0.017915944
159266,0.3486898
159267,0.22252376
159268,0.0040859776
159269,0.15506537
159270,0.043963384
159271,0.62440354
159272,0.83401334
159273,0.77704126
159274,0.035125166
159275,0.23777775
159276,0.2947998
159277,0.90997535
159278,0.71309406
159279,0.78814554
159280,0.042051572
159281,0.9524089
159282,0.78278595
159283,0.73764056
159284,0.7526288
159285,0.0053592455
159286,0.6256897
159287,0.017350672
159288,0.16510178
159289,0.6220158
159290,0.5437263
159291,0.5855445
159292,0.041295078
159293,0.06486532
159294,0.21025142
159295,0.70295084
159296,0.716084
159297,0.007757982
159298,0.19656974
159299,0.007037966
159300,0.010171645
159301,0.01657146
159302,0.14306854
159303,0.08709681
159304,0.30984923
159305,0.7399324
159306,0.7572184
159307,0.19862731
159308,0.38917747
159309,0.07331749
159310,0.6464467
159311,0.6710192
159312,0.4906088
159313,0.68212557
159314,0.8022799
159315,0.6093133
159316,0.013450725
159317,0.62143975
159318,0.3379735
159319,0.67494416
159320,0.58788997
159321,0.20071784
159322,0.71743184
159323,0.5734042
159324,0.57864606
159325,0.51654994
159326,0.7748535
159327,0.6693926
159328,0.5867079
159329,0.43353513
159330,0.007060017
159331,0.8302318
159332,0.005430517
159333,0.0045552403
159334,0.38247225
159335,0.12092722
159336,0.56633955
159337,0.9039212
159338,0.44778
159339,0.9097098
159340,0.5581134
159341,0.8569499
159342,0.69346553
159343,0.47203758
159344,0.38779616
159345,0.0073164585
159346,0.6115995
159347,0.6866718
159348,0.82338566
159349,0.0058213365
159350,0.008828321
159351,0.763989
159352,0.7670068
159353,0.3539391
159354,0.0151301455
159355,0.8951784
159356,0.8242435
159357,0.81154746
159358,0.2897865
159359,0.6827958
159360,0.035521578
159361,0.83262676
159362,0.013760259
159363,0.77275884
159364,0.75762767
159365,0.7800495
159366,0.00087156374
159367,0.5560138
159368,0.5270394
159369,0.7181185
159370,0.46321097
159371,0.45421106
159372,0.14660257
159373,0.7134129
159374,0.49243104
159375,0.9200903
159376,0.8391104
159377,0.0051388284
159378,0.77921194
159379,0.28978533
159380,0.15508913
159381,0.036449973
159382,0.47208497
159383,0.009479631
159384,0.5667138
159385,0.021027323
159386,0.55979425
159387,0.8910439
159388,0.60058504
159389,0.0029303115
159390,0.70707923
159391,0.30795226
159392,0.799133
159393,0.0327984
159394,0.14762576
159395,0.81488657
159396,0.8612962
159397,0.85731846
159398,0.8919676
159399,0.7056771
159400,0.590799
159401,0.75003666
159402,0.012128537
159403,0.019375794
159404,0.8352039
159405,0.026520194
159406,0.08188623
159407,0.014191499
159408,0.0040850015
159409,0.87569463
159410,0.5459781
159411,0.81933093
159412,0.7656233
159413,0.86454666
159414,0.16315152
159415,0.43604177
159416,0.33205265
159417,0.41830784
159418,0.64610344
159419,0.030547665
159420,0.67024434
159421,0.57682985
159422,0.17186317
159423,0.007754609
159424,0.018185124
159425,0.63827205
159426,0.022273565
159427,0.035399634
159428,0.004279887
159429,0.058387812
159430,0.0066072503
159431,0.84222263
159432,0.031068912
159433,0.04015558
159434,0.4062255
159435,0.46210515
159436,0.7950273
159437,0.052230787
159438,0.70248055
159439,0.18587679
159440,0.028663853
159441,0.92806613
159442,0.27839074
159443,0.024591353
159444,0.017326307
159445,0.7884082
159446,0.8519242
159447,0.2883344
159448,0.8062853
159449,0.43401238
159450,0.0023362704
159451,0.8481739
159452,0.61960196
159453,0.030592699
159454,0.5302937
159455,0.71209145
159456,0.0031307796
159457,0.53553265
159458,0.4959577
159459,0.6261792
159460,0.08792921
159461,0.6801737
159462,0.101848595
159463,0.025409289
159464,0.5164034
159465,0.25125372
159466,0.07117881
159467,0.77406627
159468,0.87975496
159469,0.6139122
159470,0.91319495
159471,0.7349093
159472,0.8088541
159473,0.05774413
159474,0.4974502
159475,0.3447238
159476,0.007567559
159477,0.074214086
159478,0.816181
159479,0.12383841
159480,0.36784336
159481,0.1359379
159482,0.81750035
159483,0.031148288
159484,0.026205488
159485,0.58811826
159486,0.07065265
159487,0.058351252
159488,0.5434626
159489,0.084794335
159490,0.55616206
159491,0.8177121
159492,0.08451191
159493,0.8390356
159494,0.046761494
159495,0.0020914953
159496,0.7667009
159497,0.44364312
159498,0.3462677
159499,0.876257
159500,0.13186015
159501,0.6231307
159502,0.82157516
159503,0.016414044
159504,0.5728599
159505,0.017900832
159506,0.8564142
159507,0.7431505
159508,0.6172833
159509,0.9137495
159510,0.010464211
159511,0.0031821919
159512,0.02355824
159513,0.20855369
159514,0.13263929
159515,0.5997098
159516,0.5852083
159517,0.013292399
159518,0.008887986
159519,0.06104234
159520,0.11048606
159521,0.95981824
159522,0.8333404
159523,0.004523061
159524,0.34204024
159525,0.0064769434
159526,0.13866739
159527,0.008212956
159528,0.317364
159529,0.8020404
159530,0.34411398
159531,0.069847934
159532,0.9453913
159533,0.85976344
159534,0.6553869
159535,0.5050211
159536,0.01784608
159537,0.27039242
159538,0.72590494
159539,0.8617318
159540,0.0017317001
159541,0.17796779
159542,0.35196295
159543,0.0077922293
159544,0.48992336
159545,0.48734018
159546,0.5922143
159547,0.7143741
159548,0.5545646
159549,0.01299018
159550,0.0042199697
159551,0.62270236
159552,0.71948713
159553,0.42212814
159554,0.18406107
159555,0.9394707
159556,0.9057602
159557,0.9025961
159558,0.2314449
159559,0.731383
159560,0.03609416
159561,0.9501287
159562,0.9308554
